frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.033114,0.177668,0.010714,0.048906,0.028495,-0.718451,0.693271,-1.937429659809172,21.507277179312705,-0.9743383688747882,-0.4205597367698326,9.674356914272904,-1.549300549186021,0.7573559284210205,-0.5464906096458435,-0.1067806705832481,-0.0535504429549743,-0.0298057399877229,-0.7603314801171236,-0.6466374788325276,-0.8060230016708374,0.1325955688953399,0.0766518637537956,15.140613318920137,-13.272600601947309,8.261040268155933,-0.0254112761467695,-0.1165689677000045,20.65540199154616,0.1048634797334671,3.4677468377143144,1.0910806881181896
1,-0.037747,0.164853,0.010548,0.044983,0.029066,-0.715474,0.696583,-1.929965169147402,13.065773376500603,-4.66493943772912,-0.3844795020744204,9.653553780218958,-1.68268727536872,-0.1061779558658599,-0.284587413072586,0.4914675056934356,-0.0579083762803862,-0.0384761263942869,-0.7644035353592974,-0.6409784419467942,-0.1604844182729721,0.5783494710922241,-0.4071598649024963,13.1584785482049,-9.66951356589496,10.33817796612382,-0.3465691208839416,-1.4506595134735107,10.060042577266692,0.3763028681278229,1.508279679750651,0.052267385686771
2,-0.047538,0.098318,0.008605,0.024327,0.010263,-0.710868,0.70283,0.6001600056601688,-2.2642671202540394,-6.300636267733574,-0.141670406006556,9.722803257533908,-1.271775255051255,-2.119502305984497,0.6017144918441772,0.6068801879882812,-0.0486958200222185,-0.0445536571456541,-0.7502382727199015,-0.6578649038362538,1.6565581560134888,1.8485867977142327,-1.609088897705078,4.136816311612725,-2.1097703860253096,3.383553766028583,-0.4565714001655578,-1.501488447189331,-8.480258188620208,-0.0370573103427886,-2.6459970313593746,-0.4243045858539641
3,-0.051502,0.052505,0.008868,0.012971,0.005411,-0.707163,0.706911,2.286218985951692,-12.99038291221261,-0.9515291556954384,0.1189060183496214,9.80399977775216,-0.1945452515006065,-3.144551992416382,-0.335666298866272,0.6881738901138306,-0.0390585395642543,-0.0484848304264401,-0.712438256059128,-0.698967434399601,3.428899049758911,2.4561383724212646,-2.3213844299316406,-6.154973997345566,3.5595991919815537,-4.836364510405064,-0.4572630226612091,1.3019051551818848,-11.271830104345083,-0.0037319334223866,-4.526322409677506,-0.1034010546358767
4,-0.054307,0.00885,0.009825,0.004067,0.008376,-0.700921,0.713178,-0.1407067668724805,-15.119084208679196,5.754213514816761,0.3430168071556836,9.76759400089681,0.8042528011742979,-1.4816279411315918,-0.3772247433662414,0.3887946605682373,-0.0403134690616292,-0.060851165523433,-0.6747530324128065,-0.7344251289759333,1.1378328800201416,0.3357763290405273,-1.4298155307769775,-12.530272999614477,4.241381724719703,-12.749652248120308,-0.1587419211864471,-0.4096300303936004,-6.5567404420465225,-0.2310664653778076,-1.209376374283433,0.2879593021266162
5,-0.057517,-0.025475,0.011435,0.00203,-0.001813,-0.696933,0.717132,-0.3166346673930064,-16.007915208399297,0.6059217475246638,0.4004317985637113,9.743335757952927,1.0379970404453576,-0.1266435086727142,0.2242569029331207,-0.0997641459107399,-0.0397698670709197,-0.0631483272210571,-0.665649434325694,-0.7425236871543427,0.1197956949472427,-0.1067766472697258,-0.3333933353424072,-12.10787994647026,2.4765964502483606,-12.548003886616227,-0.0508128479123115,0.0898884609341621,-10.10465913310647,0.1600734889507293,-2.794234120671451,0.1736952460976317
6,-0.060574,-0.05912,0.010896,-0.007358,-0.026067,-0.699746,0.713878,0.67214815069139,-14.862479099106787,-1.2838858179531991,0.2960070725690573,9.748316468974949,1.0262097181484102,0.0992442667484283,0.1454179286956787,-0.3035070896148681,-0.0410619076826289,-0.0572273620889578,-0.6666355036495021,-0.7420486348242622,-0.0963736176490783,-0.0241509526968002,0.3221055865287781,-11.63980183147192,3.625890988534689,-9.808743757408855,0.0295496918261051,-0.0396791435778141,-9.25505364383757,-0.0245792418718338,-1.925867670700699,-0.5894449157046153
7,-0.058742,-0.06274,0.00777,-0.017901,-0.031965,-0.709015,0.704242,-0.0052730450320988,-8.732914852827786,-1.6276088006168603,0.1180996978022623,9.791750537031888,0.5273235732365399,0.8886964321136475,0.114196240901947,-0.4036363363265991,-0.0437171979290903,-0.0497037414735661,-0.6860346333472211,-0.7245515030862352,-1.296807885169983,-0.627012312412262,0.7048991322517395,-7.4348676769226785,2.875898550662398,-7.675923919707536,-0.0764480233192443,-0.2416034787893295,-9.88167806071639,-0.0371102727949619,-2.0716187884159383,-0.1455827023457735
8,-0.057824,-0.060952,0.00533,-0.015735,-0.04021,-0.715243,0.69754,-1.6423995425134896,-1.4212901092141863,-1.5410200659662483,-0.0182785006723541,9.803389536899328,0.2521912203866057,0.4589841067790985,0.5116946697235107,-0.2746501863002777,-0.0443431493119124,-0.0419181800353157,-0.696695552334775,-0.7147669749189616,-0.8934167623519897,-1.2773830890655518,0.1134792491793632,-3.2787019371956583,1.4957032529026268,-2.782086879020929,-0.0021483311429619,0.5249947905540466,-9.943190806299448,-0.0989327654242515,-2.4328604766353963,0.0983740293872542
9,-0.059013,-0.056267,0.001495,-0.019756,-0.053465,-0.709139,0.702761,0.301674103621114,8.41128869729042,1.7997873220086096,-0.2267055728059261,9.80304934515953,0.1386181057638488,0.6503060460090637,-0.1718896776437759,-0.4713208973407745,-0.0455901833186664,-0.0287392932512791,-0.7015030267870702,-0.7106258342379214,-0.8294521570205688,-0.2200846076011657,0.1296042799949646,9.815240133690834,-2.883951216475665,2.970911414787173,0.1538371294736862,-1.08104407787323,6.311480317831039,-0.3885731995105743,3.743129712992906,1.7121930635772644
10,-0.06007,-0.060131,-0.000698,-0.020469,-0.054691,-0.707579,0.704217,0.1788543824264779,10.183023644769191,-3.669733637392521,-0.3395651688644662,9.800478617888688,0.0754383174511371,-0.9566906690597534,-0.0713292062282562,-0.3537003993988037,-0.0542956664778445,-0.029528083644772,-0.7037626080205373,-0.7077416560940829,-0.2774211466312408,-0.773955762386322,-0.0895102173089981,5.8781602124810215,-2.0365815234348177,5.889944173777103,0.4379768669605255,2.662739515304565,13.234577453023194,-0.8263147473335266,2.377702068515122,0.5107742972347885
